"inventory_id","film_id","store_id","last_update"
1,1,1,"2020-02-15 11:09:17+01"
2,1,1,"2020-02-15 11:09:17+01"
3,1,1,"2020-02-15 11:09:17+01"
4,1,1,"2020-02-15 11:09:17+01"
5,1,2,"2020-02-15 11:09:17+01"
6,1,2,"2020-02-15 11:09:17+01"
7,1,2,"2020-02-15 11:09:17+01"
8,1,2,"2020-02-15 11:09:17+01"
9,2,2,"2020-02-15 11:09:17+01"
10,2,2,"2020-02-15 11:09:17+01"
11,2,2,"2020-02-15 11:09:17+01"
12,3,2,"2020-02-15 11:09:17+01"
13,3,2,"2020-02-15 11:09:17+01"
14,3,2,"2020-02-15 11:09:17+01"
15,3,2,"2020-02-15 11:09:17+01"
16,4,1,"2020-02-15 11:09:17+01"
17,4,1,"2020-02-15 11:09:17+01"
18,4,1,"2020-02-15 11:09:17+01"
19,4,1,"2020-02-15 11:09:17+01"
20,4,2,"2020-02-15 11:09:17+01"
21,4,2,"2020-02-15 11:09:17+01"
22,4,2,"2020-02-15 11:09:17+01"
23,5,2,"2020-02-15 11:09:17+01"
24,5,2,"2020-02-15 11:09:17+01"
25,5,2,"2020-02-15 11:09:17+01"
26,6,1,"2020-02-15 11:09:17+01"
27,6,1,"2020-02-15 11:09:17+01"
28,6,1,"2020-02-15 11:09:17+01"
29,6,2,"2020-02-15 11:09:17+01"
30,6,2,"2020-02-15 11:09:17+01"
31,6,2,"2020-02-15 11:09:17+01"
32,7,1,"2020-02-15 11:09:17+01"
33,7,1,"2020-02-15 11:09:17+01"
34,7,2,"2020-02-15 11:09:17+01"
35,7,2,"2020-02-15 11:09:17+01"
36,7,2,"2020-02-15 11:09:17+01"
37,8,2,"2020-02-15 11:09:17+01"
38,8,2,"2020-02-15 11:09:17+01"
39,8,2,"2020-02-15 11:09:17+01"
40,8,2,"2020-02-15 11:09:17+01"
41,9,1,"2020-02-15 11:09:17+01"
42,9,1,"2020-02-15 11:09:17+01"
43,9,1,"2020-02-15 11:09:17+01"
44,9,2,"2020-02-15 11:09:17+01"
45,9,2,"2020-02-15 11:09:17+01"
46,10,1,"2020-02-15 11:09:17+01"
47,10,1,"2020-02-15 11:09:17+01"
48,10,1,"2020-02-15 11:09:17+01"
49,10,1,"2020-02-15 11:09:17+01"
50,10,2,"2020-02-15 11:09:17+01"
51,10,2,"2020-02-15 11:09:17+01"
52,10,2,"2020-02-15 11:09:17+01"
53,11,1,"2020-02-15 11:09:17+01"
54,11,1,"2020-02-15 11:09:17+01"
55,11,1,"2020-02-15 11:09:17+01"
56,11,1,"2020-02-15 11:09:17+01"
57,11,2,"2020-02-15 11:09:17+01"
58,11,2,"2020-02-15 11:09:17+01"
59,11,2,"2020-02-15 11:09:17+01"
60,12,1,"2020-02-15 11:09:17+01"
61,12,1,"2020-02-15 11:09:17+01"
62,12,1,"2020-02-15 11:09:17+01"
63,12,2,"2020-02-15 11:09:17+01"
64,12,2,"2020-02-15 11:09:17+01"
65,12,2,"2020-02-15 11:09:17+01"
66,12,2,"2020-02-15 11:09:17+01"
67,13,2,"2020-02-15 11:09:17+01"
68,13,2,"2020-02-15 11:09:17+01"
69,13,2,"2020-02-15 11:09:17+01"
70,13,2,"2020-02-15 11:09:17+01"
71,15,1,"2020-02-15 11:09:17+01"
72,15,1,"2020-02-15 11:09:17+01"
73,15,2,"2020-02-15 11:09:17+01"
74,15,2,"2020-02-15 11:09:17+01"
75,15,2,"2020-02-15 11:09:17+01"
76,15,2,"2020-02-15 11:09:17+01"
77,16,1,"2020-02-15 11:09:17+01"
78,16,1,"2020-02-15 11:09:17+01"
79,16,2,"2020-02-15 11:09:17+01"
80,16,2,"2020-02-15 11:09:17+01"
81,17,1,"2020-02-15 11:09:17+01"
82,17,1,"2020-02-15 11:09:17+01"
83,17,1,"2020-02-15 11:09:17+01"
84,17,2,"2020-02-15 11:09:17+01"
85,17,2,"2020-02-15 11:09:17+01"
86,17,2,"2020-02-15 11:09:17+01"
87,18,1,"2020-02-15 11:09:17+01"
88,18,1,"2020-02-15 11:09:17+01"
89,18,1,"2020-02-15 11:09:17+01"
90,18,2,"2020-02-15 11:09:17+01"
91,18,2,"2020-02-15 11:09:17+01"
92,18,2,"2020-02-15 11:09:17+01"
93,19,1,"2020-02-15 11:09:17+01"
94,19,1,"2020-02-15 11:09:17+01"
95,19,1,"2020-02-15 11:09:17+01"
96,19,1,"2020-02-15 11:09:17+01"
